Commit message,Class
rewrite realoptionalbinder use internalfactory interface avoid overhead normal providerinstancebindings provider couple note implementation mutable state besides binder move new helper object bindingselection think move thing helper object interaction bite clear also allow u make factory static calculate key optional binder name delay configure time setdefault setbinding call would assume optionalbinders deduped setdefault setbinding call avoid work common case none factory need circular deps resolution simply delegate factory way much like proxyfactory use linkedkeybindings wrap result optional perform minor refactoring java util optional reflection helper benchmark result timeoptionalbinderinjection measure long inject object depend optionalbinders every configuration timeprovidesinjection time long take inject provide method timeoptionalbindersetbinding time long take directly inject optionalbinder setbinding bind delegate binding timeprovidesinjection able see overhead optionalbinder fetch object create moe moe migrate revid,move
new parent class abstractcontentdigesthistory implementation extend abstractcontentdigesthistory java abstract method load store non abstract persistkeyfor javadocs bdbcontentdigesthistory java extend abstractcontentdigesthistory contentdigesthistoryloader java contentdigesthistorystorer java use abstractcontentdigesthistory,pull up
implement new font editor new font editor allow multiple character range pretty thoroughly test next goal move glyph calculation everything lgm common interface plugin driver egm gmx utilize,move
refactoring test stage get rid coordinate ommission problem rename old test xxx test xxx legacy test move different package functionality still beyond operation count base limit create new test always pair xxx test setup xxx test test name test introduce concept conversation rather test basic operation thread count set directly test specifies rather frequency conversation invocation remove option data per thread since fix number thread,move
correction convert degree twice bearingtoongreatcircle remove debug code move common code calculate shortestdisttolinesegment coord improve unit test git svn id f ee dfeeeb,move
refactored fieldentryreader class merge abstracttemplatebuilder class,move
halfway refactoring command permission,inline
rename confuse usagesummarydto field show daily average,rename
jcbc refactoring viewfuturethis changeset refactors get method viewfuture extract common codepathinside reduce duplication change id dad cf f b fbbe c review michael wiederhold test michael nitschinger,extract
wide crawl performance limit lock contention servercache getserverfor string especially cachedbdbmap java pbaclace contribute patch port h plus statisticstracker java replace longwrapper atomiclong use non recursive putifabsent base idiom get create defaultservercache java clean host server get create around non recursive concurrent idiom bdbmodule java add expectedconcurrency property je lock nlocktables tune topnset java add synchronization call statisticstracker method lose,inline
refactoring push property mgmt functionality new superclass share report renderers git svn id baf c fc e,pull up
rename rectangle add inclusive upper extent point contain rectangle box contain added function compute bound rectangle point,rename
add automatic json endpoint read verb git svn id c b b b e,extract
add res removeall command strip old help system change list command support multiple page,extract
added remotesharedobjectdescription subclass sharedobjectdescription update implementation deal sharedobjectdescription remotesharedobjectdescription,push down
rename bogus test case fix,rename
tremendous patch wouter move lot thing new rule xml test format git svn id baf c fc e,move
rename method suit class function,rename
source update interal refactoring synchprotocol class isolate multi line response io handle prepratory step address read inefficiency bulk multibulk response,push down
add super column mutator rename clusterfactory create clusterfactory getorcreate,rename
merge finishandinjectpluralmethod generatepluralmethod,inline
rework wampmessage serialization add binary message use message pack,push down
player chunknetcache instance also move code common class,move
arq graphene screenshooter alter comply change upstream issue lifecycle observer use upstream reporter project registry screenshooter interceptor introduce ftest screenshooter add,push down
rename ssl upgradetossl,rename
refactor extract common method,extract
move stats project everything build,inline
proof concept spawn mojang structure bo possible spawn minecraft object like minecraft igloo igloo bottom use minecraftobject x z name bo object add mod yet support require bo config know exist object current terraincontrol code yet support little refactoring need minecraft object call structure mojang distinguish complete structure call structure part code new object represent interface call spawnableobject customobject extend interface see javadocs detail structuredcustomobject interface remove method customobject eliminates need ugly code like branch branch object instanceof structuredcustomobject structuredcustomobject object getbranches new branch code simply branch branch object getbranches,pull up
fix move utilitycontext separate context,move
massive change support multiple subdivision many method move around logical class code look good anyway program still work spite change git svn id f ee dfeeeb,move
easy way generate link contract address graph,extract
logtool remove hasfieldfor hasmethodfor method add additional validation property annotation parameter,inline
sgf refactor fail client server integration test due static port allocation cherry pick commit ee ccc abda f de e f sign john blum,extract
try clean code trim unneeded code,pull up
move thread pool freemailplugin freemail allow messagehandler channel deal freemail class make possible break dependency without pass even object,pull up
bug fix syntax highlight huge text replacement find replace huge move architecture destroy implementation studioframe archhandler,move
bit refactoring calculation class kenyaemrcalculation become basekenyaemrcalculation method kenyaemrcalculation public move calculationutils art specific calculation move art sub package,move
add importer exporter interface class importer base importer class fileimporter base interface resource import file sequenceimporter base interface sequence import sequencefileimporter base interface sequence import file sequenceexporter base interface sequence export yet fully support sequencefileexporter base interface sequence export file yet fully support pluginimporter plugin abstract class import interface pluginfileimporter plugin abstract class file import interface pluginsequenceimporter plugin abstract class sequence import interface pluginsequencefileimporter plugin abstract class sequence import interface pluginsequencefileexporter plugin abstract class sequence export yet support interface add imageprovider interface abstractimageprovider class describe flexible image access use base sequenceimport interface add lociimporter lociimporterplugin class bioformat library implementation new importer interface loader major rewrite use new importer interface change serieselectiondialog use new importer interface saver minor change yet adapt new exporter interface imagesaverdialog accept select file destination file name lose change directory roi add basic implementation contains roi intersects roi severals bug fixes boolean operation roiutil add getmasscenter method icybufferedimageutil sequenceutil add rotate method sequence fix metadata load save multi serie image define serie attach sequence use persistent data file taskframemanager complete rewrote old code lazely do hopefully fix issue actiondialog add iscanceled method know operation cancel add editrepositorydialog replace old one contain bug fileaction fix new image create add save metadata action roiaction roi subtraction produce possible result xls export always export rois minor issue fix roipanel fix issue refresh data action rectangle severals fix infinite dimension fileutil add tofiles topaths file string conversion method several improvement exception error catcher report plugin cause exception anchor add anchor dpositionlistener replace old deprecate anchor dlistener add support local plugin repository others fix cleanup refactoring,pull up
write javadoc genepool rename size getsize,rename
refactors cleanups javadoc,inline
add support delay expire,extract
p logoptions module become optional option move p spyoptions module,move
refactor xpathrule support version property currently default cause underlying xpathrulequery use handle xpath query current xpathrule logic move jaxenxpathrulequery version saxonxpathrulequery add handle compatibility mode version saxon implementation complete future commit git svn id baf c fc e,move
unify altair documentation one document fix ssem release refactor cpu testsuite finish first draft cpu developer tutorial,move
hopefully last big exception refactorings go place add context error object make sure never double specifing injection point key multiple time new error nice line parameter field link binding hopefully make easy follow stacktraces additional context bind origin module could add later desire currently module specific source creationexceptions plain old binding source elsewhere end result message look like com google inject provisionexception guice provision error error inject constructor java lang unsupportedoperationexception com google inject provisionexceptiontest reald provisionexceptiontest java bind com google inject provisionexceptiontest reald class provisionexceptiontest java bind com google inject provisionexceptiontest class provisionexceptiontest java error git svn id guice googlecode com svn trunk f b b b aecad e,extract
change plugin class interface change various plugins match mostly implement isrunning added support script plugin extend various class match simply return null empty array scriptable hook point proxy allowconnection implement added support script framework create manage script manager,push down
dependency fix add lax use explicitly use lax header parse functionality add extends lax original package avoid break compatibility code may still reference explicit common code change use lax arc warc record reading,pull up
base decoding change step editor minor refactoring filter,extract
implement new generic controller test allow test directly controller without run embeded servlet container separate genericcontroller interface genericcontrollerimpl implementation class test class name refactoring,push down
attribute handle refactoring,inline
simplify replication fix issue testcase,inline
update console test use baseconsoletest invoketestconsole invoketestconsole handle creation pipe creation console countdownlatch setup verification exception invoketestconsole come different variety setup verify callbackcount setup verify callbackcount setup verify settingsbuilder callbackcount counddownlatch number use many callback wait move,move
refactored make detector architecture modular add lck placeholder,move
add intercept containerbuilder hid constructionproxy proxyfactory etc remove intercept package add query package start strut plugin example git svn id guice googlecode com svn trunk f b b b aecad e,extract
create ftpserver use factory ftpserver git svn id f bb ffa edef,push down
refactoring move code cut multipolygons class multipolygoncutter git svn id f ee dfeeeb,move
rename peerfilter peermapfilter,rename
vishnu dev add provider remark rename setter auditlog propertyname use data freemarker resolve property name method throw exception return type string,rename
move getter setter layout appenderbase remove unused method subclass,pull up
minor protocoldecl refactoring,push down
update notification translator current specs clean request type b,push down
allow f folder option regex top level folder name change folder look old fix name logic insufficient,inline
enhance simpleretentionstorereader support different retention,push down
remove reference possible udfimpl,inline
start refactor merge unsafe base compressor mainline,push down
push non abstract non static method abstractiobuffer add final modifier abstractiosessiongit svn id f bb ffa edef,push down
refactoring content heirarchy remove htmlcontent move process logic htmlcontentprocessor merge contentstub basecontent inmemorycontent use everywhere instead hg rename src main java com opensymphony sitemesh basecontent java src main java com opensymphony sitemesh inmemorycontent java,move
ngrinder develop performance test module test list edit function move getjavadatamodel getsystemdatamodel agentcontroller class,move
move groovy stuff special class make reusable,pull up
get closer something useful still need clean runneroptions somehow git svn id b c ae bc bd,pull up
add new option allowdnsreverselookup restrictor check default hostname determine might cause reverse dns lookup order avoid e g restriction hostname configuration property set false backwards compatibility set true change false jolokia,extract
rename list read,rename
massive refactors list complete give idea many thing lombok eclipse move lombok core enable reuse lombok javac b lombok javac work similarly eclipse model first make big asts bidirectionally traversable walk annotation c instead get annotation instance get object flexible e g give class value enum string instead class object may fail class classpath lombok source internal sun class javac add contrib,pull up
rename hashmapmapper mapmapper implementation detail please boy scout rule,rename
massive refactors list complete give idea many thing lombok eclipse move lombok core enable reuse lombok javac b lombok javac work similarly eclipse model first make big asts bidirectionally traversable walk annotation c instead get annotation instance get object flexible e g give class value enum string instead class object may fail class classpath lombok source internal sun class javac add contrib,move
refactor move interval flush method filelog,move
face rename responsive attribute alloy inputdate alloy inputtime nativewhenmobile,rename
use update reftree workspace poll refactor remove conditionals accurevscm move delegate add ignore parent change back remove unnecessary hist command changelog calculation filter changelog reftree workspace base update log avoids promote upstream consider change clean directory relocation avoid stale file,move
first compile code dump refactor,pull up
rename lot stuff emma jacoco,rename
refactor odt textstyling extract pluggable interface style generation,extract
refactor iterators offer simple static method return expect result,move
jenkins minor refactor,move
task cmdline fun jdbctest fun cleanup,extract
progress constraint expression parser work refactoring content assist processing,pull up
aravind imdad move handler logic service method,move
rename level conversion test method log j,rename
fix,push down
add basic support mixin argument expansion elipsis,extract
refactoring change,push down
rename indexname index indextype type publicly visible method consistent api,rename
spot unclosed zk connection rename isusesolrcloud issolrcloudenabled,rename
remove phase bindingprocessor refactor two different class two different bit abstract superclass manage share piece git svn id guice googlecode com svn trunk f b b b aecad e,inline
todo change stats count removal already expire,pull up
esilco reduce duplicated sql query code limited getproductfromlocation endpoint active related document record,inline
refactoring load create bw instance test,move
refactored code reduce complexity git svn id f bb ffa edef,extract
move functionality erd wquerypagewithfetchspecification erd wquerypage,pull up
refactored request printing,move
revert merge branch master revert commit ebb fc da acfab f f ecf f reversing change make b c cc e f b dc fa c,inline
remove baseurl full url add getters setter variable add test rename genericattributes defaultgenericattributes,rename
changelog remove static instance schemeregistry cookiespecregistry authschemeregistry make sure one instance schemeregistry per clientconnectionmanager hostconfiguration routetracker longer implement cloneable override clone method abstract thread safe default populates execution context data require request execution git svn id f bb ffa edef,pull up
move call buildfilterchain abstractioprocessor good exception handle git svn id f bb ffa edef,inline
fix tscontroller advance item l mode previously end item session wrong behaviour mode logic behaves well suspend session instead end nb change name method advanceitemlinear enditemlinear long accurate corresponding mayenditemlinear rename mayadvanceitemlinear add unit test,rename
sc qcadoo add restriction page order gridcomponent,extract
gui preserve last file filter use load image dialog fix multiple plugin launch ribbon plugin button roi fix point remove polygon select roi keep color border modify remove select color property add opacity property imagej wrapper trace roi imagej convert roi darea,pull up
massive refactors list complete give idea many thing lombok eclipse move lombok core enable reuse lombok javac b lombok javac work similarly eclipse model first make big asts bidirectionally traversable walk annotation c instead get annotation instance get object flexible e g give class value enum string instead class object may fail class classpath lombok source internal sun class javac add contrib,move
rename test,rename
move version item content,pull up
refactor,pull up
nativefunctiontest modification nativefunction var use gremlinscriptcontext instead variablelibrary method getvariablebyname move gremlinscriptcontext import optimization,move
rename method,rename
rename method consistency,rename
usage sample factory override extension point src dev directory create host user development modification replaces generate annotation ensure unique directory src generate code overriden code another directory change copyright file git svn id svn ssh svn opcoach com srv opcoach svn train trunk ab df e b fef,push down
linkpath linkname miss method rename,rename
mear fix ejb client handle renamed javamodule jarmodule deprecate javamodule add defaultlibdir alias defaultjavabundledir understable updated documentation update test add ejb client test git svn id f bb ffa edef,rename
add consistency api,extract
refactoring extract tail builder class introduce abstracttaildoublearray class,pull up
continued processingcontext refactoring,pull up
bit work symbol table class name record globalscope come think probably record sourcefilescope interim layer instead allow private inner class rate also push stuff abstractscope localscope seem fit well remove useless unit test add good one generally make progress towards fix unused private field false positive inner class private field reference enclose class git svn id baf c fc e,push down
removal deprecate draft remove draft draft draft draft,pull up
bug manhattan rout extremely inefficient slows editor response arrows change unexpectedly node move canvas,move
apply fix outline issue lot extension ant task variety code cleanup,inline
create fully work handlesetter eclipse refactored handlegetter little mostly stuff common code pkg,inline
code refactoring testall move parent rule add setup use addrule git svn id baf c fc e,move
inline private method,inline
extract charsequencebuffer interface charsequencelist allow tagprocessor pass custom charsequencebuffer push new buffer,extract
refactoring,move
grammatik angepasst change id ffddb efc caca b bc f,inline
renames,rename
sweeping change clean auctionentry class move responsibility class,move
extract move logic bucket model,move
rename gm file stuff gmfile longer specifically refactored reference update reference message extract gmstreamencoder writetree gmfilewriter match prior extraction readtree git svn id f f bc e cd,rename
pulled atom event framework need replace,pull up
merge virtualbiomes replacetobiomename feature one rewrite lot code task sound simple actually quite complicate want replacetobiomename change savedid set read localbiome instance create indexed postpone creation localbiome instance also option biomeconfig require create default setting solution split localbiome two class one still call localbiome hold name id biome one call mojangsettings hold default setting mojangsettings instance create biome load localbiome instance create biomeconfigs depend localbiome instance anymore way round localbiome hold biomeconfig instance code look nice thanks change unfortunately biome generation code really improve lot id base lookup custom biome need mojangsettings instance create setting mojang use custom biome registry standardbiomefactory remove defaultbiome job create standardbiomefactory rename standardbiometemplate standardminecraftbiomes rename minecraftbiometemplates class hold subclass minecraftbiometemplate concept nullbiome go localbiome instance longer required create biomeconfigs setting check without create nonoperational localbiome implementation,rename
review rename getprojectlistgeneral getjobs minor style change,rename
extract kahn algorithm compute method,extract
remove formatted exception allow custom list delimiters,inline
sonar minor fix,push down
clearcase plugin add option set time window merge change log entry git svn id c de ed b c,extract
remove system err run method script,inline
rename simple image type field imagetype renames simple image type field imagetype relate method getimagetype setimagetype,rename
avoid code duplication extract method,extract
rename generate get git svn id guice googlecode com svn trunk f b b b aecad e,rename
move branch delegate erd wpage,pull up
refactor role validation configuration validation,push down
rewrote consumerloop bit narrow scope try catch around poll split dispatch method processevent ack return event flush rudimentary exception handle deal possibility handler throw exception currently log continue merry way postpone figure happen concrete case help inform design decision,extract
oozie test cleanup testpurgexcommand asalamon via andras piros,extract
extract method per pull request comment,extract
validate queue parameter batch enqueueing per job list thus refactored validation method small decide inlining validatearguments method since sure whether line design principle author library,extract
fix readsettings method length within checkstyle limit extract readsettingsincludes methodgit svn id f f bc e cd,extract
option rename,rename
move default implementation majority abstract class default abstract git svn id f bb ffa edef,pull up
fix receive loop insns rename ert receive peek loop rec ert wait forever wait ert method match beam insn name make corresponding change compiler simplify correct logic messge loop message retrieve correct order explicitly initialize midx,rename
performance improvement locationhook quadtree use locationhook reimplemented use optimal data structure functionality really use remove quadtree check boundary directory contains bound do git svn id f ee dfeeeb,inline
refactor main run extract method,extract
sc qcadoomes small fix,push down
rename variable,rename
add validation minimum support tool version coveritypublisher checkconfig,extract
remove old bob format support add default directory file,extract
create generic experiment extend scalabilityexperiment minor refactoring,push down
release database connection suspend acquire resume transaction resume transaction longer valid resume fail otherwise transaction upgrade current state world add support automatically initialize root domain object first run application,extract
fix test move test example core,move
msurefire restructure allow different test suite behave identically also improve class loader separation merge surefire test classloaders rename battery reference test set testng support currently comment exception handle need cleanup follow git svn id testng f bb ffa edef,rename
change address model interface allow consume project override funcitonality easily,push down
refactored classcachemgr make leaner readable class prevent bloat make parallel work bit easy,move
remove instance variable reduce visibility,inline
pull line information nodeinfo,pull up
lot change use new import mechanism load isatab file next step automatically generate ui component investigation study form base content read investigation file,push down
clean treecontextbuilder get random forest random forest builder implement,push down
refactoring,extract
resolve issue dirmina move idletime writetimeout property iosessionconfig iosession move idletime writetimeout property iosessionconfig add iosessionconfig setall add default implementation abstractiosessionconfig remove serialsessionconfig timeout replaced ioservice connecttimeout git svn id f bb ffa edef,move
boofcv converter rename converter replace static method object method,rename
create new synchronization object move real work synchronizeservice refactored property peer similar application property peer preparation demise,move
inlined wordcramengine shapetoimage bring logic close drawwordimage similar try un tangle mess,inline
hv minor refactoring add tostring implementation make iscascaded explicit,push down
fix automatic update several place use updatesource system convert resnode use updatesource make listen resource propagate event resource resource tree node listener move resnode update handle resource frame resnode replace resourcemenu complicate listener system updatesource remove setlisten method roomeditor roomcomponent since weak reference use updatesource make unnecessary add new method invokeoncelater util swingutilities invokelater except runnable enqueued already queue make several field different resource private let generate event set make new class sprite subimages imagelist call sprite fireupdate modify added event propagation path simplify listener handle especially room editor component sprite gmobject instance background tile fix updating subimage list spriteframe e g load new image git svn id f f bc e cd,move
added custom firefly rename setting rename season setepisode addepisode fix punctuation removal add unit test,rename
fix fumble merge,inline
add eval inputstream,extract
add column field field class add seven new class field java abstract class defines field e piece data may display table per row textfield java imagefield java combofield java checkboxfield java subclasses field java intend hold specific type data specialize method type field java defines field program public static instance field column java column use display field column class encapsulate tablecolumn actual ui class part table able keep helpful data column class column must associate field require constructor final field either null column indicate currently display table one column must refer back field error try assign column field already column try assign column field column already refer different field addition seven new class make major change resultstable java field previously define integer constant whose value correspond column id column id create table column add definition require know order code add import field field java cell get set method resultstable become method field resultstable long deal image level deal itemstate imagefield turn actual image method use sort itemdestdisplayedtext getitemtextvalue previously static method define resultstable check dispatch depend type field functionality live field class specific subclass field use sorttable method longer take tablecolumn column id two piece data encapsulate within new column class pas instead move column creation call field create column ask field turn call column also define selection behavior sort column therefore longer need sorttable wrapper method code create column know figure sortdirection also add gettablecolumn field use instead table getcolumn field gettablecolumn could return null idea may define field user chooses display table currently support something intend add,move
implement refresh token additional validation entity use validation framework,extract
check interval overlap simplify code correct wrong assignment todo check duplicate yet okay random number optimization increase precision address search git svn id f ee dfeeeb,inline
begin work towards well database schema add permission table user group add member table group start move major sql query jar file resource,extract
rename istoplevel istoplevelonly,rename
add tokenizer vocab support class add get set method tokenizer vocab stopword removal option,pull up
add ability listen activity retrieval operation use retrievalworker currently chunk retrieval event report partial resolution ensure bridge database connection stay alive long data transfer,extract
rename response renderable,rename
java move rule correct package accord new category part,move
way return value task change type,inline
add flipping,extract
move equal hashcode content since define content still final method jh,pull up
rename use include,rename
exploit new sourcepath option remove guess guess member class type cast remove correspond compiler option downside import must accessible parseable compile time mean also need something like classpath use inside maven plugin resolve dependency jangaroo library upside jooc warning take seriously splitted analyze phase scope analyze change parser parse dot identifier sequence qalifiedide increase priority new operator high dot new b c correctly parse dot new ideexpr qide b c handle code generation qualify unqualified ide expression ide qualifiedide generatecodeasexpr tree rewrite dotexpr elsewhere think remove parent node slot astnodes change return type analyze void code generation add package prefix import identifier private prefix private static member efficient less magical access via able remove statement rename methoddeclaration functiondeclaration use add ast node expression git p depot path coremedia jangaroo change,rename
format fix apt doc notice actually use refactoring bunch bean related access stuff rdfgenerator separate class use say class entitymanagerimpl correctly implement refresh fix small tweak entitymanagerimpl merge work expect w entitylistener stuff fix,move
add test demo bug ignore bid zero quantity,extract
refactor command line test cpd create basecpdclitest class,pull up
fix stacktrace non standard jboss install,push down
update lib action code gmobjectframe timelineframe move getlibtabs gmobject timeline call rename getlibtabs makelibtabs create addactionpane gmobject timeline call git svn id f f bc e cd,rename
update completes add manifest rest api call durastore essentially happen mill jpa repo module move mill project manifest rest resource class move duraboss durastore new manifestgeneratorimpl write work manifeststore new setup depend property catalina opts point property file contain property specify mill jpa repo src test resource mill config property property must set dduracloud property path path prop,pull up
add getguilayout full method high infrastructure remove lot redundant code git svn id bcaee e b e c f fc,pull up
add unit test verifies charset multipart use,extract
pull createsetwith method superclass,pull up
fix dependency client fix import start field singleworld lowercase oloflarsson say bad practise start anything class uppercase letter complete rename localbiome setcustom localbiome setvisuals,rename
move cluster test clusteredeventbustestbase,push down
extract stuff method git p depot path coremedia jangaroo change,extract
rename imetadata imetadata pete wot make,rename
hv move privileged action package git svn id b cb b ca fae ebed b,move
refactor vxmlelement,pull up
allow request params option override autopagingiterator normally pass params option list method invoice invoice list params option autopagingiterable patch add support also overridden autopagingiterator invoice invoice list autopagingiterable params option reason support custom params option subcollections unfortunately inherit option parent collection example lineitems invoice getlines autopagingiterable params option context try elegant solution fail seem like easy option time possibility could something sophisticated later start consolidate interface fix,extract
greatly simplify implementation pipe find general pattern exist pipe exist far create abstractpipe implement method instantiable pipe two method constructor setnext method concise simple clean test case pass,pull up
add newrules git svn id baf c fc e,extract
fix disk failure step happy path fix clone template node node fail disk fixed step poweroff node step createreplacementvm step chef bootstrap step bad node change include implement clusterhealservice fix cluster error start disk failure implement disk failure handle job accord step record system disk table disk plus besides data swap disk update createvmsp attach exist vmdks create add disk vmdk path,extract
rename osgifycontext osgifiercontext,rename
added invitation listener presence listener xmpp chat room,extract
fix api network registration register without reference whole networkcontroller object requiresregistration interface defines register function network component require networkregistrationrequest able deal message networkcontroller implement requiresregistration registerconnector function rename register networkcontroller constructor type check networkchannel give see need register test update change,rename
refactored fitfixtureexception restfixture fix bug handle j expression,extract
add gitgnore benchmark module bump netty added netty udp benchmark create sub package nio tcp various benchmark start refactor iosessionconfig implementing class take care udp start mplement udp client server,pull up
importer plugins r w setting xml add class path name xml new file format defaultpreferences move preferencesmanager lasercutter etc save xml default,move
add odometerbuilder modify builder build method rename flipchar splitflap control,rename
code handle search config setting differently different place refactored use single static method searchcommandparser instead also javadoc,extract
fix bug history manager add cursor support link listener issue number obtain submit reviewed,extract
test case extractchildgoal,extract
extract time record reader without need variable,extract
remove unused variant resolvecontext resolve static method break ignored restricttochild parameter since also unused nuke,inline
net refactoring,push down
test method renames,rename
merge extract task task model,extract
tried incorporate gojomo suggestion engine java remove error warning string rely flash class log jobsdir check failure severe return early collapse error handle considerasjobpath log severe rename considerasjobdirectory addjobdirectory remove catch rethrow leavejobpathfile write instead log severe rename leavejobpathfile writejobpathfile add boolean userrequest arg addjobdirectory move call writejobpathfile inside addjobdirectory change void considerasjobpath file string getjobpathfromfile remove call addjobdirectory make seperate call addjobdirectory findjobconfigs engineresource java restructure create logic clarity eliminate style code rely flash class remove limit addpath input change createpath remove cap bang error message remove platform specific path separator call engine addjobdirectory userrequest true form action add,rename
several change action frame action list related stuff move toolbar method scriptframe gmltextarea add modification checking documentundomanager make work script frame code action editor add equal method resid fix bug action list restore color button functionality argument remove r mistake change default value string resourcemenu instance make argument etc add code arrow interface actionframe arrow icon yet add give new layout actionframe absolute position change layout manager resourcemenu make work well new layout use resourceframe implemented applies checkboxes actionframe change mouse listener action list select exist actionframe select action frame already add indentation action list else repeat action indent next action block git svn id f f bc e cd,move
rename equality method comparators git svn id research chemet trunk e e c eb c ee,rename
add getallowedlanguages string spacename,extract
tou function rename,rename
refactored test make readable,pull up
add remove command nbt utility,extract
create mini spi plugable test annotation package add spring annotation test harness plug test,push down
revert rf rename jqueryobject jquery,rename
refactor dcm che tool getscu,inline
move large data header message body rename protocol name id set use offset length message buffer,move
remove unused code,inline
make abstract basedatabaseconnection extend various way set connection,pull up
nearly everything function split blockgenerator component part clarity change behavior use list helper reference holder,extract
simplify moh builder code use emrreportingutils addrow add column base dimension also extract pwp indicator pwpindicatorlibrary,extract
refactoring,pull up
refactoring,move
rename constraint,rename
pc optimization refactoring unit test miss test refactoring,extract
add builder class formbodypart instance api improvement multipartentitybuilder git svn id f bb ffa edef,push down
create abstract form item move common code change form item hierarchy inherit form dataclass,pull up
file check p due idea offline mode hrmpf fly move exml namespace uri constant fit well refactorings get rid componentsuiteresolver componentsuiteregistry fill advance anyway idea plugin also simplify componentsuiteregistry accordingly split xmltojsonhandler use exml parse two handler one metadata exmltometadatahandler one ext component json exmltojsonhandler metadata need build xsd json need generate class open api generate single class remove exhaustive logging souts git p depot path coremedia jangaroo change,move
make generic usage memorybackend related much saner mean remove much possible generic suck,pull up
remove activemq implementation messaging add message ivory feed,pull up
code move splitdockstation splitlayoutmanager git svn id e b fefcacdf,move
many change reorganization,push down
rework html export functionality way do csv exporter utility class use generate html output tool export html rewritten new approach,push down
add support readvalues well,extract
rename private method,rename
oozie refactor class launcher jar oozie sharelib rkanter git svn id f bb ffa edef,extract
sc qcadoomes refactored production balance move calculation production record production balance include tpz additional time calculation,move
biserver reorganize parameter processing prd report viewer report viewer longer process parameter locally everything get pass blindly server parameter xml source configuration gwt application get gwt side longer use raw dom tree configure everything use doms cumbersome easy mess real object model exist accept new xml structure generate content generator clean load misalign anonymous inner class never good use inner class still rely else streak achieve small class parameter names url encode user outside english language space tend use native character set everything include url component instead hardcoding error text color let use stylesheet server side add proper gwt client support pass client property parameter system output target use instead output type output target redefine user declare parameter name output target paginate parameter longer treat specially pagination mode activate html pageable output target select autosubmit autosubmitui layout part master report object report hide split monolithic contentgenerator separate class deal exactly one request type separation concern cool various inner class could static top level class output target select default xactions html stream content generator html page stag handler configuration do via master report addition exist url system default setting stag mode set memory temp file disable forcebufferedwriting mode html export aware stag current implementation cause extra memory consumption output type could stream user ie except bufferd html open point parameter attribute pass client side namespace aware yet date parameter handling must still fix broken time timestamp type bi server,extract
rename sourcetype format somehow sound natural,rename
small refactoring exclude code duplication within report provider,pull up
rename findmotion findcharmotion,rename
change command handle print command usage string clean plugin yml usage help look awful bring back bad message format red torn tim add warn console try use player command match start name warzone instead exact name work continue work,extract
hv create interface beanmetadatamanager,push down
move logindisabled property instructoruser,push down
initial jvsthost refactoring,pull up
introduce interface particlemover expect distributedparticlemover future,push down
major refactoring dropwizard kafka new consumer api kafkaconsumer parameterized message type consumption begin kafkaconsumer start call initialization decoder streamprocessor need register kafkaconsumer construct make construction type safe possible create kafkaconsumer via kafkaconsumerfactory valid scala support update simplify remove cumbersome errorpolicy configuration favour automatic handling error instead treat error attempt recover transient error still todo error handle mechanism decoder instance currently exception throw decoder treat recoverable error create infinite loop message invalid,inline
rebase modifiedntripleswriter rio ntripleswriter modify nquadswriter use ntriplesutil append output,inline
refactor make dashboard possible,inline
rf move panel cdk,push down
refactoring rhohub part final bug fix,pull up
javadoc additiono remove useless method scheduletrafficcontrol get rid construction necessaryo add commento refactoring make code candy eyegit svn id f bb ffa edef,inline
hv rename type argument container element,rename
feature move getvmarguments configurationhelper getjvmargs,move
snapshottesttool rename exclude excludefield,rename
splunkexport importtool inheirits splunktool remove duplication splunkexporttool splunkimporttool,pull up
remove failurestrategytest failurestrategy fully abstract class behavior test move singular test class logical location create moe moe migrate revid,move
remove old style constant record class,inline
added bipart function refactor,pull up
calculate absolute position incrementally prep work pagination light cleanup fix bug float nest float could cause out float position wrong place,extract
extract common g gap assertion code something readable processor method,extract
hold ctrl identifier sourcecodeview identifier underlined mouse pointer change indicate click jump symbol definition,inline
added support version command upload gist github com,extract
rename parameterholder getparameters getallparameters,rename
fix memory leak color cache push calculatedstyle field derive value need remove others remove inheritedlength class originally result misinterpretation spec,push down
get ready clean inconsistent apis stuff,inline
read lifecycle map metadata maven plugin artifact calculate buildi lifecycle map e check main maven plugin artifact meta inf e lifecycle map metadata xml use resource additional metadata source new lifecycle mapping metadata source priority pom embed pom reference parent embed parent reference grand parent embed source contribute eclipse extension maven plugin embed metadata default source present sign igor fedorenko,extract
move visitor centric compilation,inline
code clean introduce array design submission type,push down
jcbc multi value array mutation still design part rfc subdoc api motivation rfc introduces possibility insert multiple value exist array implementation part rfc modification new internal type multivalue introduce facilitate special encode need multi value array mutation fragmenttranscoder two abstract method one classic encode path multivalue encode path new spec add subdoc builder arrayprependall arrayappendall arrayinsertall take collection value convenience alternative signature use varargs also offer offer createparents parameter different name xxxall suffix allow disambiguate edge case relative varargs compiler also close java collection idiom result multi value insert possible java subdoc api use either collection vararg enumeration test adapt change id ab abba c bb c review tested simon baslé review michael nitschinger review mark nunberg,pull up
add hook support,extract
generified extraction view certain index,extract
tenant repository renames rename tenant concept simple multiple name repository,rename
